"",mean_right_dir,min_right_dir,max_right_dir,mean_wrong_dir,min_wrong_dir,max_wrong_dir,mean_asc,min_asc,max_asc,mean_desc,min_desc,max_desc,mean_wrong_edges,min_wrong_edges,max_wrong_edges,mean_indegree,min_indegree,max_indegree,indegree for actual 0 indegree,indegree for actual 1 indegree,indegree for actual 2 indegree,indegree for actual 3 indegree,indegree for actual 4 indegree,indegree for actual 5 indegree,indegree for actual 6 indegree,indegree for actual 7 indegree,indegree for actual 8 indegree,indegree for actual 9 indegree,indegree for actual 10 indegree
0,0.558333,0.000000,1.000000,0.334722,0.000000,1.000000,0.961538,0.666667,1.0,0.830247,0.333333,1.0,0.646874,0.571429,0.787879,1.891667,1.000000,3.333333,1.272222,1.487179,2.354167,2.666667,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,0.569722,0.222222,1.000000,0.282500,0.000000,0.555556,0.875817,0.000000,1.0,0.838333,0.500000,1.0,0.659522,0.607143,0.750000,2.194444,1.000000,3.666667,1.318056,1.511905,2.597222,3.000000,3.166667,-inf,-inf,-inf,-inf,-inf,-inf
2,0.503849,0.238095,0.833333,0.351468,0.111111,0.666667,0.827778,0.333333,1.0,0.865205,0.333333,1.0,0.650096,0.590909,0.750000,2.208333,1.166667,3.166667,1.435556,1.282051,2.570707,3.285714,2.000000,2.666667,-inf,-inf,-inf,-inf,-inf
3,0.514087,0.285714,0.833333,0.360198,0.166667,0.583333,0.884259,0.333333,1.0,0.859167,0.500000,1.0,0.651700,0.583333,0.742857,2.180556,1.333333,4.333333,1.570556,1.343750,2.743590,3.047619,3.583333,-inf,-inf,-inf,-inf,-inf,-inf
4,0.529947,0.300000,0.833333,0.309610,0.125000,0.666667,0.828655,0.000000,1.0,0.851111,0.583333,1.0,0.654336,0.571429,0.717391,2.181944,1.111111,3.333333,1.420278,1.275794,2.606481,3.444444,3.333333,2.916667,-inf,-inf,-inf,-inf,-inf
5,0.426628,0.111111,0.809524,0.271944,0.111111,0.611111,0.726944,0.333333,1.0,0.667857,0.333333,1.0,0.688933,0.622222,0.833333,2.293611,1.166667,2.800000,1.711230,1.748830,2.950000,2.583333,2.666667,-inf,-inf,-inf,-inf,-inf,-inf
6,0.463077,0.238095,0.740741,0.284850,0.151515,0.444444,0.733889,0.333333,1.0,0.757242,0.416667,1.0,0.663554,0.590164,0.750000,2.411984,2.000000,3.133333,1.766389,1.994152,2.647661,2.910256,2.000000,3.666667,-inf,-inf,-inf,-inf,-inf
7,0.426938,0.181818,0.633333,0.291398,0.090909,0.566667,0.713333,0.166667,1.0,0.739907,0.444444,1.0,0.674430,0.605634,0.767857,2.352778,1.761905,3.000000,1.736310,1.740000,2.720679,2.957265,3.166667,-inf,-inf,-inf,-inf,-inf,-inf
8,0.459487,0.181818,0.743590,0.257355,0.076923,0.393939,0.688730,0.333333,1.0,0.749392,0.444444,1.0,0.664224,0.573333,0.767857,2.323836,1.666667,3.222222,1.665046,1.706393,2.772222,2.944444,2.766667,3.333333,4.0,-inf,-inf,-inf,-inf
9,0.428091,0.190476,0.641026,0.324709,0.102564,0.461538,0.736171,0.388889,1.0,0.763019,0.444444,1.0,0.659633,0.595506,0.717949,2.345205,1.875000,2.944444,1.786786,1.827778,2.767544,2.750000,3.222222,3.333333,-inf,-inf,-inf,-inf,-inf
10,0.447119,0.242424,0.846154,0.290485,0.111111,0.487179,0.772943,0.611111,1.0,0.711150,0.428571,1.0,0.678504,0.612245,0.724490,2.450476,2.000000,3.000000,1.867718,1.955278,2.802778,2.782051,3.388889,3.000000,-inf,-inf,-inf,-inf,-inf
11,0.450284,0.261905,0.694444,0.285005,0.166667,0.476190,0.717817,0.458333,1.0,0.742250,0.333333,1.0,0.659451,0.589474,0.710000,2.521098,1.833333,3.250000,1.661592,1.798099,2.886984,3.103175,3.083333,3.166667,-inf,-inf,-inf,-inf,-inf
